name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Azerbaijan,AZE,Northern Africa and Western Asia,Asia,upper-middle,less,10318207,125136,1.67,111.8,67842,74.429,14.946,-84122
Bahrain,BHR,Northern Africa and Western Asia,Asia,upper,less,1569666,19558,1.824,103.8,3278,81.284,5.332,20002
Cyprus,CYP,Northern Africa and Western Asia,Asia,upper,less,1344976,14524,1.389,106.5,9499,81.648,3.12,8697
Georgia,GEO,Northern Africa and Western Asia,Asia,upper-middle,less,3807492,43765,1.81,106.7,45077,74.496,8.142,2003
Iraq,IRQ,Northern Africa and Western Asia,Asia,upper-middle,less,45074049,1159682,3.249,105.7,186266,72.324,19.019,-5710
Israel,ISR,Northern Africa and Western Asia,Asia,upper,less,9256314,172312,2.83,105.5,51294,82.408,2.781,9999
Jordan,JOR,Northern Africa and Western Asia,Asia,lower-middle,less,11439213,235776,2.639,104.9,34873,77.814,11.751,-17445
Kuwait,KWT,Northern Africa and Western Asia,Asia,upper,less,4838782,49342,1.525,104.7,8624,80.405,7.246,50008
Lebanon,LBN,Northern Africa and Western Asia,Asia,lower-middle,less,5773493,93205,2.239,105.3,34419,77.817,15.717,-34193
Oman,OMN,Northern Africa and Western Asia,Asia,upper,less,5049269,85065,2.525,104.3,9597,80.031,8.557,156285
Qatar,QAT,Northern Africa and Western Asia,Asia,upper,less,2979082,29516,1.729,104,2771,82.368,4.176,39995
Saudi Arabia,SAU,Northern Africa and Western Asia,Asia,upper,less,33264292,546038,2.28,105.1,77837,78.732,5.059,325691
State of Palestine,PSE,Northern Africa and Western Asia,Asia,upper-middle,less,5409202,146384,3.311,105.1,38937,65.17,14.182,-24996
Syrian Arab Republic,SYR,Northern Africa and Western Asia,Asia,low,less,23594623,521601,2.712,105.2,118900,72.12,16.736,757309
Türkiye,TUR,Northern Africa and Western Asia,Asia,upper-middle,less,87270501,1072014,1.625,105,551598,77.156,9.163,-318070
United Arab Emirates,ARE,Northern Africa and Western Asia,Asia,upper,less,10642081,104015,1.2,104.6,9916,82.909,4.864,300004
Yemen,YEM,Northern Africa and Western Asia,Asia,low,less-least,39390799,1386914,4.59,105.9,188764,69.295,32.274,-5233
Belarus,BLR,Europe and Northern America,Europe,upper-middle,more,9115680,65050,1.208,105.9,121587,74.434,1.905,-3034
Bulgaria,BGR,Europe and Northern America,Europe,upper-middle,more,6795803,62645,1.749,106,102980,75.636,4.724,5173
Czechia,CZE,Europe and Northern America,Europe,upper,more,10809716,91845,1.448,105.3,113525,79.834,2.225,-14638
Hungary,HUN,Europe and Northern America,Europe,upper,more,9686463,85373,1.486,105.9,128062.99999999999,77.024,3.19,49213
Poland,POL,Europe and Northern America,Europe,upper,more,38762844,317916,1.299,106,412310,78.633,3.19,-7824
Republic of Moldova,MDA,Europe and Northern America,Europe,upper-middle,more,3067070,32986,1.731,106.2,41730,71.198,11.681,-18570
Romania,ROU,Europe and Northern America,Europe,upper,more,19118479,183623,1.713,105.5,257119.00000000003,75.938,4.849,-27780
Russian Federation,RUS,Europe and Northern America,Europe,upper-middle,more,145440500,1297207,1.449,105.7,1794857,73.154,3.542,27807
Slovakia,SVK,Europe and Northern America,Europe,upper,more,5518055,52271,1.56,105.5,54167,78.341,4.517,4933
Ukraine,UKR,Europe and Northern America,Europe,lower-middle,more,37732836,212231,0.977,106.3,495421,73.422,5.893,-299961
Denmark,DNK,Europe and Northern America,Europe,upper,more,5948136,57810,1.511,105.7,57275,81.933,2.888,31006
