name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Kosovo (under UNSC res. 1244),XKX,Europe and Northern America,Europe,upper-middle,more,1700.031,-1.072,1.545,107.1,78.033,8.078,-28.754
Malta,MLT,Europe and Northern America,Europe,upper,more,532.956,1.29,1.098,106.7,83.299,6.233,6.591
Montenegro,MNE,Europe and Northern America,Europe,upper-middle,more,633.552,1.857,1.803,106.9,77.087,1.718,12
North Macedonia,MKD,Europe and Northern America,Europe,upper-middle,more,1831.802,-0.468,1.465,107.7,77.395,4.716,-5.597
Portugal,PRT,Europe and Northern America,Europe,upper,more,10430.738,-0.002,1.508,105.6,82.36,2.582,29.102
San Marino,SMR,Europe and Northern America,Europe,upper,more,33.733,-0.744,1.149,106.6,85.706,1.081,-0.19
Serbia,SRB,Europe and Northern America,Europe,upper-middle,more,6773.201,-0.439,1.5,106.9,76.769,4.166,4.348
Slovenia,SVN,Europe and Northern America,Europe,upper,more,2118.396,0.078,1.576,106.3,81.603,1.81,5.339
Spain,ESP,Europe and Northern America,Europe,upper,more,47911.579,0.018,1.213,106.4,83.67,2.386,119.099
Austria,AUT,Europe and Northern America,Europe,upper,more,9130.429,-0.124,1.317,105.5,81.956,2.753,4.819
Belgium,BEL,Europe and Northern America,Europe,upper,more,11712.893,0.253,1.379,104.9,82.115,3.33,41.679
France,FRA,Europe and Northern America,Europe,upper,more,66438.822,0.173,1.639,104.9,83.325,3.503,91.862
Germany,DEU,Europe and Northern America,Europe,upper,more,84548.231,0.349,1.441,105.6,81.378,2.969,609.553
Liechtenstein,LIE,Europe and Northern America,Europe,upper,more,39.598,0.697,1.537,116.3,83.63,5.608,0.214
Luxembourg,LUX,Europe and Northern America,Europe,upper,more,665.098,1.235,1.396,105.3,82.229,4.445,5.905
Monaco,MCO,Europe and Northern America,Europe,upper,more,38.956,-0.922,2.11,104.9,86.372,3.941,0.088
Netherlands,NLD,Europe and Northern America,Europe,upper,more,18092.524,0.807,1.43,105.2,82.158,3.388,144.558
Switzerland,CHE,Europe and Northern America,Europe,upper,more,8870.561,0.62,1.433,105.1,83.954,3.176,45.098
Anguilla,AIA,Latin America and the Caribbean,Latin America and the Caribbean,NA,less,14.41,1.568,1.364,103.6,79.311,4.858,0.2
Antigua and Barbuda,ATG,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,93.316,0.5,1.578,103.2,77.598,7.475,0
Aruba,ABW,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,107.939,0.131,1.602,104.3,76.353,11.977,0.147
Bahamas,BHS,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,399.44,0.463,1.373,102.8,74.552,10.946,1.001
Barbados,BRB,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,282.336,0.028,1.708,103.5,76.178,9.392,-0.08
"Bonaire, Sint Eustatius and Saba",BES,Latin America and the Caribbean,Latin America and the Caribbean,NA,less,29.898,2.846,1.473,105,77.436,11.01,0.82
British Virgin Islands,VGB,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,38.985,1.755,1.045,105.3,77.276,11.048,0.587
Cayman Islands,CYM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,73.038,1.966,1.531,103.6,80.358,1.111,0.921
Cuba,CUB,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,11019.931,-0.351,1.439,107.1,78.085,4.363,-22.797
Curaçao,CUW,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,185.427,0.036,1.073,104.7,76.8,8.605,0.518
