name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Liechtenstein,LIE,Europe and Northern America,Europe,upper,more,39.598,0.371,1.537,116.3,0.3,83.63,5.608,0.214
Luxembourg,LUX,Europe and Northern America,Europe,upper,more,665.098,6.946,1.396,105.3,4.642,82.229,4.445,5.905
Monaco,MCO,Europe and Northern America,Europe,upper,more,38.956,0.368,2.11,104.9,0.817,86.372,3.941,0.088
Netherlands,NLD,Europe and Northern America,Europe,upper,more,18092.524,167.842,1.43,105.2,166.338,82.158,3.388,144.558
Switzerland,CHE,Europe and Northern America,Europe,upper,more,8870.561,83.702,1.433,105.1,73.788,83.954,3.176,45.098
Anguilla,AIA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,14.41,0.13,1.364,103.6,0.096,79.311,4.858,0.2
Antigua and Barbuda,ATG,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,93.316,1.106,1.578,103.2,0.643,77.598,7.475,0
Aruba,ABW,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,107.939,1.02,1.602,104.3,1.034,76.353,11.977,0.147
Bahamas,BHS,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,399.44,4.335,1.373,102.8,3.48,74.552,10.946,1.001
Barbados,BRB,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,282.336,3.155,1.708,103.5,2.996,76.178,9.392,-0.08
"Bonaire, Sint Eustatius and Saba",BES,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,29.898,0.28,1.473,105,0.258,77.436,11.01,0.82
British Virgin Islands,VGB,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,38.985,0.325,1.045,105.3,0.233,77.276,11.048,0.587
Cayman Islands,CYM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,73.038,0.865,1.531,103.6,0.351,80.358,1.111,0.921
Cuba,CUB,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,11019.931,95.938,1.439,107.1,111.819,78.085,4.363,-22.797
Curaçao,CUW,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,185.427,1.394,1.073,104.7,1.844,76.8,8.605,0.518
